ID_wyrobu;Opis_wyrobu;Kod FG;Flaga;Klient;Nazwa_wyrobu;Data_wprowadzenia;Indeks CMJ;Waga jednostki netto;ID_rodzaj_wyrobu;Ilosc_w_pudle
1091;Say it with Cake  Party Cubes - Morrisons (RSPO-SG);FG090537;FA£SZ;BBF;Say it with Cake 15 Party Cubes (RSPO-SG)- Morrisons;06.05.2020;22C00125;664;2;2
1153;Hoppers 9 Assorted Jam Tarts (RSPO-MB)- Iceland;FG120242;FA£SZ;Hoppers;Hoppers 9 Assorted Jam Tarts (RSPO-SG)- Iceland;17.09.2020;22T00253;270;1;16
1167;5 Mini Rolls Chocolate deco (GK012)- Hoppe (RSPO-MB);GK012;FA£SZ;Hoppe(Gulden Krakeling);5 Mini Rolls Chocolate deco (GK012)(RSPO-MB);12.02.2021;22C20040;125;2;12
1166;6 mini roladek czekoladowych 150g (GK013)( 5+1);GK013;FA£SZ;Hoppe(Gulden Krakeling);6 Mini Rolls Chocolate deco (GK013)- (RSPO-MB);12.02.2021;22C20039;150;2;12
1156;Cytrynowe miniroladki z kremem o smaku waniliowym z bia³¹ dekoracj¹ RSPO-SG - Cabico;CAB001;FA£SZ;Cabico;6 Lemon mini rolls (RSPO-SG)- Cabico;23.02.2021;22C09014;150;2;12
1157;Truskawkowe miniroladki z kremem o smaku waniliowym z ró¿ow¹ dekoracj¹ RSPO-MB - Cabico;CAB002;FA£SZ;CABICO;6 Strawberry mini rolls (RSPO-SG)- Cabico;23.02.2021;22C09016;150;2;12
1155;"Torcik Jaffa Perfetto (RSPO-MB; RA-MB) ALDI";---;FA£SZ;ALDI -Polska;"Torcik Jaffa Perfetto (RSPO-MB;RA-MB) ALDI";23.06.2021;22C04733;38;2;40
1223;15 Milk Chocolate Happy Birthday Cubes (L-8)(RSPO-SG) - Sainsbury;FG090615;FA£SZ;Sainsbury's;15 Milk Chocolate Happy Birthday Cubes (L-8)(RSPO-SG) - Sainsbury's;07.03.2022;22C00136;660;2;2
1220;Jumbo Strawberry Swiss Roll( RSPO-SG)-Sainsbury;FG040260;FA£SZ;Sainsbury's;Jumbo Strawberry Swiss Roll( RSPO-SG)-Sainsbury;08.03.2022;22R01401;365;3;12
1219;Jumbo Chocolate Swiss Roll( RSPO-SG)-Sainsbury Lovett's;FG040261;FA£SZ;Sainsbury's;Jumbo Chocolate Swiss Roll (RSPO-SG)-Sainsbury;08.03.2022;22R01402;365;3;12
1222;"Cuthber the Catepillar Cake (RSPO-SG;RA-MB)- Aldi";FG090602;FA£SZ;Aldi;"Cuthbert the Catepillar Cake (RSPO-SG;RA-MB)- Aldi";26.04.2022;22C08122;625;2;6
1247;Raspberry & Cream (Swiss Rolls) ROYAL-Dania (22489);ROYD05;FA£SZ;ROYAL Dania;Raspberry & Cream (Swiss Rolls)(RSPO-SG) ROYAL  Dania(22489);17.05.2022;22R01210;300;3;6
1257;Happy Birthay Cubes (RSPO-SG) - Waitrose;FG090616;FA£SZ;Waitrose;Happy Birthday Cubes (RSPO-SG)- Waitrose;21.09.2022;22C00139;652;2;2
1243;6 Assorted Jam Tarts  ( RSPO-SG)-Bookers;FG120261;FA£SZ;Bookers;6 Assorted Jam Tarts (RSPO-SG)-Bookers;12.10.2022;22T10137;180;1;6
1259;"5 Mini Cuthbert Rolls( RSPO-SG;-MB)- Aldi";FG030290;FA£SZ;Aldi;"5 Mini Cuthbert Rolls (RSPO-SG;RA-MB)- ALDI";28.10.2022;22C08123;137.5;2;12
1262;6 Mini raspberry rolls pink deco  VOS06 (RSPO-SG);VOS06;FA£SZ;Hoppe(Vos Banket);6 Mini raspberry rolls pink deco VOS06(RSPO-SG);22.11.2022;22C20043;150;2;12
1267;Happy Birthday Cubes Chocolate Cake 2023-TESCO;FG090513;FA£SZ;TESCO;"Happy Birthday Cubes Chocolate Cake 2023-TESCO  (RSPO-SG;RA-MB)";09.01.2023;22C00103;660.4;2;2
1269;Ms Molly' Madeira Celebration Cake- TESCO BREXIT;FG090606;FA£SZ;TESCO;Ms Molly's Madeira Celebration Cake BREXIT (RSPO-SG)- TESCO;22.02.2023;22M00167;940;8;6
1283;6 Assorted Jam Tarts;FG120269;FA£SZ;Hoppers;Hoppers 6 Assorted Jam Tarts - Iceland (RSPO-SG);26.05.2023;22T10262;168;1;12
1279;Standard Iced bar (RSPO-SG)2023- Co-op;FG140787;FA£SZ;Co-op;Standard Iced bar (RSPO-SG)2023- Co-op;26.05.2023;22N00007;400;9;12
1305;Core Mini Gift Cake 2023 (RSPO-SG) -Waitrose;FG140823;FA£SZ;Waitrose;Core Mini Gift Cake 2023 (RSPO-SG) -Waitrose;30.05.2023;22M70002;150;9;12
1300;9 Mini Mince Pies 2023- Nico Foods- mro¿ony;FG020359;FA£SZ;Sargent;9 Mini Mince Pies 2023( RSPO-SG)- Nico Foods- mro¿ony;31.05.2023;22T50003;235.8;1;8
1291;9 Finest Mini Mince Pies 2023- TESCO;FG020349;FA£SZ;TESCO;9 Finest Mini Mince Pies 2023- TESCO;01.06.2023;22T60006;185.4;1;12
