"ID_pola","ID_kremu","ID_surowca","Ilosc","Nazwa_kremu","Nr receptury","Data zatwierdzenia","wersja","ID_typskladnika"
15209,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
15210,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
15211,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
15212,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
15213,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
15214,52,243,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15215,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15216,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15217,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15218,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15219,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15220,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15221,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15222,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,7,1
15223,52,243,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15224,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15225,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15226,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15227,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15228,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15229,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15230,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15231,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,8,1
15232,52,243,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15233,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15234,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15235,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15236,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15237,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15238,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15239,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15240,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,9,1
15241,52,242,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15242,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15243,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15244,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15245,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15246,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15247,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15248,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15249,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,10,1
15250,52,242,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15251,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15252,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15253,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15254,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15255,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15256,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15257,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15258,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,11,1
15259,52,242,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15260,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15261,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15262,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15263,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15264,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15265,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15266,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15267,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,12,1
15268,54,2,50.00,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15269,54,49,40.00,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15270,54,12,5.00,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15271,54,38,30.00,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15272,54,43,10.00,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15273,54,34,0.30,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15274,54,7,0.25,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15275,54,71,0.40,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15276,54,11,0.50,"krem o smaku waniliowym- Cremerolls","236",4.6.2009 00:00:00,1,1
15277,54,243,50.00,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15278,54,49,40.00,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15279,54,12,5.00,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15280,54,38,30.00,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15281,54,43,10.00,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15282,54,34,0.30,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15283,54,7,0.25,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15284,54,71,0.40,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15285,54,11,0.50,"krem o smaku waniliowym","236",4.6.2009 00:00:00,2,1
15286,54,243,50.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15287,54,49,40.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15288,54,12,5.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15289,54,38,30.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15290,54,43,9.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15291,54,34,0.30,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15292,54,7,0.25,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15293,54,71,0.40,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15294,54,11,0.50,"krem o smaku waniliowym","236",10.3.2015 00:00:00,3,1
15295,54,243,50.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15296,54,49,40.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15297,54,12,5.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15298,54,38,30.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15299,54,43,9.00,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15300,54,34,0.30,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15301,54,7,0.25,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15302,54,71,0.40,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15303,54,11,0.50,"krem o smaku waniliowym","236",10.3.2015 00:00:00,4,1
15304,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
15305,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
15306,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
15307,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
15308,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
