"ID_wyrobu","Opis_wyrobu","Kod FG","Nazwa_wyrobu","Data_wprowadzenia","Indeks CMJ","Waga jednostki netto","ID_rodzaj_wyrobu","Ilosc_w_pudle"
268,"Biszkopty o smaku waniliowym 150g","LEW001","-Biszkopty Lewiatan 150g",6.3.2012 00:00:00,"21B05501",150.00,5,16.00
269,"Biszkopty o smaku waniliowym 500g","LEW002","-Biszkopty Lewiatan 500g",6.3.2012 00:00:00,"21B05502",500.00,5,6.00
270,"mini roladki w czekoladzie z żółtą dekoracją","FG030205","-Morrison's 6 Easter chocolate mini rolls",8.3.2012 00:00:00,"22C08068",168.00,2,12.00
271,"CO-OP 6 Assorted Jam Tarts","FG120061","-6 Assorted Jam Tarts- folia",6.3.2012 00:00:00,"22T01000",180.00,1,12.00
272,"CO-OP 6 Lemon Curd Tarts","FG120062","-6 Lemon Curd Tarts- folia",6.3.2012 00:00:00,"22T01100",180.00,1,12.00
273,"9 Assorted Jam Tarts","FG120158","-Hoppers 9 Assorted Jam Tarts -TESCO",8.3.2012 00:00:00,"22T00245",270.00,1,12.00
274,"12 All-Butter Mini Bramley Apple Tarts","FG180044","-12 All-Butter Mini Bramley Apple Tarts",7.3.2012 00:00:00,"22T00501",266.40,1,12.00
275,"12 Alle-Butter Mini Bramley Apple&Blackcurrant Tarts","FG180045","-12 All-Butter Mini Bramley Apple&Blackcurrant Tarts",7.3.2012 00:00:00,"22T00502",266.40,1,12.00
276,"9 Assorted Jam Tarts","FG120125","-Hoppers 9 Assorted Jam Tarts -MORRISONS",13.3.2012 00:00:00,"22T00244",270.00,1,16.00
277,"Biszkopty o smaku waniliowym La Nuvola","NET001","-Biszkopty o smaku waniliowym  La Nuvola",21.3.2012 00:00:00,"22B01450",180.00,5,12.00
278,"6 mini roladki z kremem śmietankowym w mlecznej czekoladzie","PL004","-6 Mini choco cakerolletjes PL004 (UTZ-MB,RSPO-MB)",21.3.2012 00:00:00,"22C20024",150.00,2,12.00
279,"Mini roladki truskawkowe z kremem o smaku waniliowym z ciemną dekoracją","HO167","6 Strawberry Mini Rolls with dark deco stripes HO167 (RSPO-SG)",,"22C20038",150.00,2,12.00
281,"Everyday Value chocolate & vanilla flavoured swiss roll","FG040166","-Everyday Value chocolate & vanilla flavoured swiss roll(RSPO-MB)",12.4.2012 00:00:00,"22R00503",112.00,3,14.00
